Tugas,Tanggal,Waktu ,Latitude,Longitude,Altitude,Cuaca,Suhu Udara,Precipitation,Kelembapan,NpK,pH,Foto
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_13.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_14.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_15.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_16.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_17.jpg
19,21/05/2024,10:47:00,-8.565972,115.409832,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/19_aug_18.jpg
20,21/05/2024,10:49:00,-8.565959,115.409529,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/20_aug_19.jpg
21,21/05/2024,10:50:00,-8.565915,115.409382,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/21_aug_20.jpg
22,21/05/2024,10:52:00,-8.565633,115.409384,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/22_aug_21.jpg
23,21/05/2024,10:54:00,-8.565389,115.409547,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/23_aug_22.jpg
24,21/05/2024,10:56:00,-8.564951,115.409413,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/24_aug_23.jpg
25,21/05/2024,10:58:00,-8.56477,115.409036,2 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/25_aug_24.jpg
26,21/05/2024,11:00:00,-8.564627,115.40898,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/26_aug_25.jpg
27,21/05/2024,11:01:00,-8.564476,115.408911,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/27_aug_26.jpg
28,21/05/2024,11:03:00,-8.564333,115.408881,2 mdpl,Cerah Berawan,28°C,10%,84%,5.4,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/28_aug_27.jpg
29,21/05/2024,11:05:00,-8.56484,115.408989,2 mdpl,Cerah Berawan,28°C,10%,84%,4.4,6.3,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/29_aug_28.jpg
30,21/05/2024,11:07:00,-8.565199,115.409251,2 mdpl,Cerah Berawan,28°C,10%,84%,4.0,6.6,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/30_aug_29.jpg
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_30.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_31.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_32.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_33.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_34.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_35.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_36.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_37.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_38.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_39.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_40.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_41.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_42.jpg
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_43.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_44.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_45.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_46.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_47.jpg
19,21/05/2024,10:47:00,-8.565972,115.409832,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/19_aug_48.jpg
20,21/05/2024,10:49:00,-8.565959,115.409529,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/20_aug_49.jpg
21,21/05/2024,10:50:00,-8.565915,115.409382,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/21_aug_50.jpg
22,21/05/2024,10:52:00,-8.565633,115.409384,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/22_aug_51.jpg
23,21/05/2024,10:54:00,-8.565389,115.409547,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/23_aug_52.jpg
24,21/05/2024,10:56:00,-8.564951,115.409413,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/24_aug_53.jpg
25,21/05/2024,10:58:00,-8.56477,115.409036,2 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/25_aug_54.jpg
26,21/05/2024,11:00:00,-8.564627,115.40898,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/26_aug_55.jpg
27,21/05/2024,11:01:00,-8.564476,115.408911,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/27_aug_56.jpg
28,21/05/2024,11:03:00,-8.564333,115.408881,2 mdpl,Cerah Berawan,28°C,10%,84%,5.4,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/28_aug_57.jpg
29,21/05/2024,11:05:00,-8.56484,115.408989,2 mdpl,Cerah Berawan,28°C,10%,84%,4.4,6.3,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/29_aug_58.jpg
30,21/05/2024,11:07:00,-8.565199,115.409251,2 mdpl,Cerah Berawan,28°C,10%,84%,4.0,6.6,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/30_aug_59.jpg
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_60.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_61.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_62.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_63.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_64.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_65.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_66.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_67.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_68.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_69.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_70.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_71.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_72.jpg
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_73.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_74.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_75.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_76.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_77.jpg
19,21/05/2024,10:47:00,-8.565972,115.409832,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/19_aug_78.jpg
20,21/05/2024,10:49:00,-8.565959,115.409529,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/20_aug_79.jpg
21,21/05/2024,10:50:00,-8.565915,115.409382,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/21_aug_80.jpg
22,21/05/2024,10:52:00,-8.565633,115.409384,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/22_aug_81.jpg
23,21/05/2024,10:54:00,-8.565389,115.409547,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/23_aug_82.jpg
24,21/05/2024,10:56:00,-8.564951,115.409413,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/24_aug_83.jpg
25,21/05/2024,10:58:00,-8.56477,115.409036,2 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/25_aug_84.jpg
26,21/05/2024,11:00:00,-8.564627,115.40898,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/26_aug_85.jpg
27,21/05/2024,11:01:00,-8.564476,115.408911,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/27_aug_86.jpg
28,21/05/2024,11:03:00,-8.564333,115.408881,2 mdpl,Cerah Berawan,28°C,10%,84%,5.4,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/28_aug_87.jpg
29,21/05/2024,11:05:00,-8.56484,115.408989,2 mdpl,Cerah Berawan,28°C,10%,84%,4.4,6.3,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/29_aug_88.jpg
30,21/05/2024,11:07:00,-8.565199,115.409251,2 mdpl,Cerah Berawan,28°C,10%,84%,4.0,6.6,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/30_aug_89.jpg
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_90.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_91.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_92.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_93.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_94.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_95.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_96.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_97.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_98.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_99.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_100.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_101.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_102.jpg
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_103.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_104.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_105.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_106.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_107.jpg
19,21/05/2024,10:47:00,-8.565972,115.409832,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/19_aug_108.jpg
20,21/05/2024,10:49:00,-8.565959,115.409529,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/20_aug_109.jpg
21,21/05/2024,10:50:00,-8.565915,115.409382,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/21_aug_110.jpg
22,21/05/2024,10:52:00,-8.565633,115.409384,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/22_aug_111.jpg
23,21/05/2024,10:54:00,-8.565389,115.409547,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/23_aug_112.jpg
24,21/05/2024,10:56:00,-8.564951,115.409413,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/24_aug_113.jpg
